label,c,gamma,seed,step,method,paths,pv_mean,pv_std,pv_se,cost_mean,cost_se,gross_mean,gross_se,qty_mean,qty_se
c0.05_g1.5_seed14_s27648,0.05,1.5,14,27648,LSM,8192.0,1.941281025394523,2.5005510199202257,0.027627446607633267,0.65581673377873,0.006131355941665836,2.597097759173253,0.032665843630589754,9.2998046875,0.0869385414680733
c0.05_g1.5_seed14_s27648,0.05,1.5,14,27648,RL,8192.0,1.9712236481933592,2.499973836356544,0.027621069569947816,0.5925531938828625,0.005524801914664519,2.563776842076222,0.032196242199838056,9.386370221923828,0.08642489608206029
c0.05_g1_seed11_s26624,0.05,1.0,11,26624,LSM,8192.0,2.11374438746752,2.6248380899376085,0.029000637701744183,0.4922579882352391,0.0043806021093545505,2.606002375702759,0.03253114902203228,9.871337890625,0.08783801692730792
c0.05_g1_seed11_s26624,0.05,1.0,11,26624,RL,8192.0,2.101129005004883,2.5816525847959304,0.028523500771515324,0.48306393584460044,0.004323026782344531,2.5841929408494835,0.032051688417129076,9.686322432250975,0.08668392662687835
c0.05_g2_seed14_s26624,0.05,2.0,14,26624,LSM,8192.0,1.6956745631584984,2.4126466476067767,0.026656231330152224,0.8332049781882258,0.008556541676836562,2.528879541346724,0.03386599760257942,8.35498046875,0.08579207272242731
c0.05_g2_seed14_s26624,0.05,2.0,14,26624,RL,8192.0,1.832268480102539,2.390532347412747,0.026411900523458577,0.6586212516992752,0.006385737321017564,2.4908897318018144,0.031783519824530496,9.395398513793946,0.08413838711402512
c0_g1_seed11_s29696,0.0,1.0,11,29696,LSM,8192.0,2.646822540279074,2.795819781059646,0.030889736346293193,0.0,0.0,2.646822540279074,0.030889736346293193,11.43603515625,0.08636158264651503
c0_g1_seed11_s29696,0.0,1.0,11,29696,RL,8192.0,2.6147471287841797,2.74673203423284,0.030347388242318144,0.0,0.0,2.6147471287841797,0.030347388242318144,11.495047421142578,0.08769623924376849
