label,c,gamma,seed,step,paths,delta_pv_mean,delta_pv_std,delta_pv_se,delta_cost_mean,delta_gross_mean,delta_qty_mean,delta_pct_vs_lsm,delta_pct_se
c0.05_g1.5_seed14_s27648,0.05,1.5,14,27648,8192.0,0.02994262279883639,0.22355334376959,0.00246993883338132,-0.06326353989586751,-0.03332091709703134,0.08656553442382811,0.015424156733181486,0.0012723242029728072
c0.05_g1_seed11_s26624,0.05,1.0,11,26624,8192.0,-0.012615382462637374,0.2639235593900554,0.002915970914993729,-0.009194052390638637,-0.02180943485327597,-0.18501545837402344,-0.005968263020559398,0.001379528637560267
c0.05_g2_seed14_s26624,0.05,2.0,14,26624,8192.0,0.13659391694404066,0.3046372949486537,0.003365798391570616,-0.1745837264889506,-0.03798980954490991,1.0404180450439453,0.08055432328336043,0.001984931816929076
c0_g1_seed11_s29696,0.0,1.0,11,29696,8192.0,-0.03207541149489443,0.35104998369851825,0.003878591000135144,0.0,-0.03207541149489443,0.05901226489257812,-0.012118459400573368,0.0014653762921809617
