Wall time,Step,Value
1765295826.226377,0,-44.29999923706055
1765295846.9002082,1024,-13.399999618530273
1765295918.919408,2048,-6.800000190734863
1765295995.491138,3072,-3.9000000953674316
1765296078.6316009,4096,-3.5
1765296158.40517,5120,-1.2999999523162842
1765296243.823998,6144,-2.0
1765296331.0445461,7168,-1.899999976158142
1765296413.6635919,8192,-0.8999999761581421
1765296484.754624,9216,-1.100000023841858
1765296555.758692,10240,-0.8999999761581421
1765296634.711875,11264,-0.800000011920929
1765296710.0431712,12288,-0.4000000059604645
1765296780.784674,13312,-0.699999988079071
1765296851.5832052,14336,-0.6000000238418579
1765296928.5387452,15360,-0.5
1765297003.332439,16384,-0.6000000238418579
1765297084.900126,17408,-0.5
1765297165.844235,18432,-0.699999988079071
1765297242.967113,19456,-0.699999988079071
1765297334.507336,20480,-0.800000011920929
1765297415.642008,21504,-1.100000023841858
1765297488.172981,22528,-1.600000023841858
1765297576.892096,23552,-1.600000023841858
1765297670.607253,24576,-0.800000011920929
1765297753.355686,25600,-1.100000023841858
1765297832.126772,26624,-1.100000023841858
1765297914.68304,27648,-0.8999999761581421
1765297997.483794,28672,-0.6000000238418579
1765298074.465704,29696,-0.699999988079071
1765298150.914731,30720,-1.0
1765298222.2761211,31744,-0.5
1765298300.988582,32768,-1.2000000476837158
