Wall time,Step,Value
1765371307.8651268,23,1.869116187095642
1765371309.138905,67,1.8963356018066406
1765371309.3047302,111,1.8024530410766602
1765371309.584633,184,1.7378123998641968
1765371309.643782,198,1.7660908699035645
1765371309.906653,249,1.7550052404403687
1765371310.345124,364,1.7533984184265137
1765371310.668931,442,1.7106318473815918
1765371310.7953029,471,1.6849254369735718
1765371311.0261528,523,1.6288347244262695
1765371311.818026,719,1.6628947257995605
1765371311.878052,733,1.6610841751098633
1765371311.980438,753,1.5573036670684814
1765371312.27573,819,1.6116209030151367
1765371312.666371,824,1.5832798480987549
1765371313.7635489,843,2.010052442550659
1765371323.018247,1011,2.2430782318115234
1765371323.94464,1024,2.3415143489837646
1765371331.8951209,1090,2.21711802482605
1765371338.1967318,1194,2.0388295650482178
1765371339.021127,1208,2.0608925819396973
1765371339.162508,1210,2.0813474655151367
1765371340.687928,1235,2.137608528137207
1765371349.590025,1380,2.331214666366577
1765371372.338895,1765,2.220264196395874
1765371382.453536,1913,2.2608482837677
1765371382.845649,1920,2.2745776176452637
1765371385.813972,1965,2.391033887863159
1765371389.248406,2011,2.241959571838379
1765371389.884198,2020,2.300185441970825
1765371395.609298,2051,2.4854774475097656
1765371406.890913,2219,2.3482565879821777
1765371407.937448,2235,2.2745962142944336
1765371409.339494,2256,2.464682102203369
1765371409.638345,2261,2.4101967811584473
1765371410.653772,2276,2.355802297592163
1765371416.702216,2364,2.4380149841308594
1765371422.504668,2453,2.3933348655700684
1765371423.170826,2463,2.384326219558716
1765371428.827091,2548,2.776876449584961
1765371433.015641,2612,2.5306384563446045
1765371435.0444071,2644,2.4097108840942383
1765371441.4991412,2738,2.505254030227661
1765371448.631436,2848,2.1960880756378174
1765371449.6208389,2863,2.25761079788208
1765371451.1745799,2886,2.360046863555908
1765371451.6976519,2894,2.4552056789398193
1765371452.375652,2903,2.5268616676330566
1765371456.766005,2969,2.4774718284606934
1765371457.752691,2981,2.4089035987854004
1765371458.104338,2986,2.395332098007202
1765371463.9511318,3064,2.3392138481140137
1765371477.399275,3201,2.422835111618042
1765371480.499386,3249,2.5449230670928955
1765371481.419766,3264,2.4691412448883057
1765371489.819284,3386,2.3987832069396973
1765371496.0120509,3483,2.582789421081543
1765371496.249214,3487,2.580336570739746
1765371510.0830002,3693,2.6698825359344482
1765371517.967199,3810,2.4362967014312744
1765371518.506496,3819,2.43471097946167
1765371521.6187131,3866,2.477238178253174
1765371523.599026,3896,2.4891788959503174
1765371535.175352,4061,2.137144088745117
1765371551.344091,4244,2.2152445316314697
1765371557.541091,4333,2.41754150390625
1765371557.662739,4335,2.3675615787506104
1765371558.421379,4345,2.450746774673462
1765371559.724677,4363,2.4239583015441895
1765371559.9311192,4366,2.3474769592285156
1765371562.6921742,4409,2.3412270545959473
1765371564.382279,4436,2.549269676208496
1765371569.277504,4515,2.3983848094940186
1765371573.343389,4580,2.3103549480438232
1765371578.24222,4655,2.5739307403564453
1765371578.306271,4656,2.573847532272339
1765371590.404972,4830,2.416747570037842
1765371597.563252,4936,2.4222605228424072
1765371603.88915,5024,2.3442952632904053
1765371606.355971,5058,2.4697721004486084
1765371607.433283,5071,2.461977243423462
1765371609.8078861,5105,2.2502481937408447
1765371623.860794,5257,2.3680102825164795
1765371634.979723,5422,2.3655567169189453
1765371636.918478,5449,2.3939459323883057
1765371637.281909,5454,2.4037303924560547
1765371641.022162,5508,2.3748817443847656
1765371646.1830778,5580,2.516458034515381
1765371649.631347,5631,2.6043288707733154
1765371658.124588,5752,2.6941921710968018
1765371666.039167,5865,2.453618049621582
1765371667.047242,5881,2.4676902294158936
1765371674.897527,5996,2.4482381343841553
1765371678.836715,6052,2.3827109336853027
1765371683.9419022,6117,2.427549123764038
1765371700.8365161,6303,2.6049492359161377
1765371701.603638,6313,2.533998966217041
1765371709.695709,6431,2.455815553665161
1765371710.61935,6445,2.361741304397583
1765371714.1336262,6497,2.5686678886413574
1765371731.622366,6726,2.4778800010681152
1765371735.1611352,6775,2.578740119934082
1765371735.237626,6776,2.575732469558716
1765371739.5190558,6835,2.700002908706665
1765371739.96881,6841,2.5752151012420654
1765371741.1348748,6859,2.457597494125366
1765371742.206012,6875,2.620321035385132
1765371747.978542,6961,2.5547986030578613
1765371748.434718,6965,2.490936517715454
1765371755.981568,7060,2.4362759590148926
1765371759.3042119,7108,2.8492136001586914
1765371762.005721,7145,2.792811393737793
1765371774.6422882,7265,2.393785238265991
1765371779.681692,7339,2.709472417831421
1765371786.540343,7415,2.5292747020721436
1765371795.222368,7533,2.4612538814544678
1765371796.117759,7547,2.354468822479248
1765371798.410802,7578,2.4267706871032715
1765371806.113611,7685,2.482245922088623
1765371807.385429,7702,2.5841448307037354
1765371820.075978,7878,2.6402459144592285
1765371820.5687869,7886,2.778749942779541
1765371822.778684,7917,2.6430625915527344
1765371825.4058728,7957,2.853926181793213
1765371833.439189,8064,2.604069948196411
1765371837.400335,8121,2.714388847351074
1765371837.461887,8122,2.7231838703155518
1765371852.686887,8277,2.8243155479431152
1765371859.3781078,8371,2.740657091140747
1765371859.902338,8378,2.6159627437591553
1765371864.4674392,8441,2.460416316986084
1765371868.71712,8507,2.824324607849121
1765371876.288275,8618,2.576915740966797
1765371878.810348,8653,2.4380815029144287
1765371883.5015528,8722,2.4870145320892334
1765371889.0841658,8804,2.5365982055664062
1765371890.449597,8823,2.6162493228912354
1765371891.38851,8837,2.569509744644165
1765371893.7850728,8873,2.5148675441741943
1765371895.955946,8904,2.381904363632202
1765371899.55442,8957,2.6890170574188232
1765371901.817918,8989,2.62502384185791
1765371905.499327,9039,2.47874116897583
1765371917.131744,9206,2.525925397872925
1765371924.949288,9261,2.6063125133514404
1765371927.477031,9299,2.7328567504882812
1765371929.172197,9325,2.497924566268921
1765371933.976296,9395,2.6957602500915527
1765371934.446816,9402,2.621565103530884
1765371934.885366,9405,2.676204204559326
1765371936.820674,9418,2.663292169570923
1765371947.1179678,9537,2.665137767791748
1765371958.92533,9675,2.4134976863861084
1765371961.6278322,9709,2.3795835971832275
1765371962.758004,9726,2.4479262828826904
1765371967.2335548,9781,2.371265172958374
1765371974.974375,9877,2.8232743740081787
1765371984.12329,9992,2.5451009273529053
1765371993.795598,10118,2.6117072105407715
1765371996.795703,10164,2.5586469173431396
1765371999.867241,10208,2.6372711658477783
1765372000.546835,10218,2.515568971633911
1765372007.913397,10264,2.552171468734741
1765372015.85339,10376,2.434673309326172
