Wall time,Step,Value
1765371306.806031,0,-22.200000762939453
1765371323.6454809,1024,-17.200000762939453
1765371389.125947,2048,-8.600000381469727
1765371459.6758919,3072,-6.300000190734863
1765371532.2886899,4096,-5.800000190734863
1765371603.261612,5120,-3.799999952316284
1765371675.8815439,6144,-2.200000047683716
1765371752.690636,7168,-1.7000000476837158
1765371831.066306,8192,-1.2999999523162842
1765371905.204452,9216,-2.9000000953674316
1765371988.552873,10240,-1.7999999523162842
1765372063.9059699,11264,-1.0
1765372137.289218,12288,-1.0
1765372220.371275,13312,-0.5
1765372312.9082491,14336,-1.100000023841858
1765372412.140223,15360,-0.800000011920929
1765372515.725348,16384,-0.5
1765372620.0689092,17408,-0.5
1765372729.051618,18432,-1.0
1765372839.6275752,19456,-0.6000000238418579
1765372943.1851242,20480,-0.8999999761581421
1765373042.734273,21504,-1.399999976158142
1765373147.868161,22528,-0.4000000059604645
1765373240.189579,23552,-0.30000001192092896
1765373341.845526,24576,-0.5
1765373470.438177,25600,-0.5
1765373567.691817,26624,-0.30000001192092896
1765373657.444191,27648,-0.4000000059604645
1765373765.199959,28672,-0.4000000059604645
1765373870.574773,29696,-0.5
1765373983.611584,30720,-0.4000000059604645
1765374079.366882,31744,-0.6000000238418579
1765374128.935647,32768,-0.4000000059604645
