Wall time,Step,Value
1765371307.0072699,0,-41.400001525878906
1765371326.094541,1024,-13.399999618530273
1765371393.6838982,2048,-9.100000381469727
1765371466.636929,3072,-7.599999904632568
1765371539.6098409,4096,-7.599999904632568
1765371613.053462,5120,-6.800000190734863
1765371687.958153,6144,-5.400000095367432
1765371765.711545,7168,-5.599999904632568
1765371845.086878,8192,-2.9000000953674316
1765371919.848997,9216,-2.4000000953674316
1765372004.149471,10240,-1.600000023841858
1765372081.094315,11264,-2.0999999046325684
1765372154.9730098,12288,-1.2999999523162842
1765372241.3321679,13312,-0.8999999761581421
1765372334.865397,14336,-0.4000000059604645
1765372433.415155,15360,-1.600000023841858
1765372537.518547,16384,-0.6000000238418579
1765372641.29843,17408,-1.2999999523162842
1765372740.9587982,18432,-1.899999976158142
1765372841.053078,19456,-0.8999999761581421
1765372937.045983,20480,-2.700000047683716
1765373024.818412,21504,-1.899999976158142
1765373115.616375,22528,-1.7000000476837158
1765373217.171951,23552,-1.399999976158142
1765373306.658491,24576,-0.699999988079071
1765373407.1671748,25600,-1.7999999523162842
1765373514.707943,26624,-2.5999999046325684
1765373602.310098,27648,-1.100000023841858
1765373684.249771,28672,-1.399999976158142
1765373781.1899352,29696,-1.2000000476837158
1765373890.677407,30720,-1.399999976158142
1765373989.02723,31744,-0.699999988079071
1765374069.833916,32768,-1.2999999523162842
