Wall time,Step,Value
1765371307.000532,0,-38.79999923706055
1765371324.266628,1024,-17.299999237060547
1765371392.230598,2048,-8.800000190734863
1765371464.006266,3072,-6.599999904632568
1765371536.226841,4096,-6.699999809265137
1765371607.588897,5120,-6.199999809265137
1765371682.082606,6144,-3.5
1765371760.009172,7168,-4.300000190734863
1765371839.672781,8192,-2.9000000953674316
1765371915.134022,9216,-3.0
1765371999.619275,10240,-2.9000000953674316
1765372074.5414631,11264,-2.4000000953674316
1765372148.1584299,12288,-1.2000000476837158
1765372232.043506,13312,-1.100000023841858
1765372326.611093,14336,-0.8999999761581421
1765372423.162996,15360,-1.0
1765372524.086237,16384,-0.800000011920929
1765372634.003102,17408,-0.699999988079071
1765372736.381662,18432,-0.6000000238418579
1765372844.398289,19456,-0.6000000238418579
1765372941.298589,20480,-1.7000000476837158
1765373037.453239,21504,-0.699999988079071
1765373139.5006459,22528,-1.100000023841858
1765373234.914005,23552,-0.6000000238418579
1765373320.729972,24576,-0.6000000238418579
1765373441.622135,25600,-0.699999988079071
1765373540.415169,26624,-0.6000000238418579
1765373625.295841,27648,-0.20000000298023224
1765373720.051806,28672,-0.5
1765373813.974813,29696,-0.30000001192092896
1765373931.157362,30720,-0.30000001192092896
1765374010.756168,31744,-0.5
1765374093.2412002,32768,-1.0
