run,step,delta_percent,delta_price,lsm_price,rl_price
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,0,-99.4000015258789,-2.906524658203125,2.9251973628997803,0.018672620877623558
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,1024,-17.600000381469727,-0.5154036283493042,2.9251973628997803,2.4097936153411865
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,2048,-6.300000190734863,-0.18485063314437866,2.9251973628997803,2.740346670150757
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,3072,-4.300000190734863,-0.12629099190235138,2.9251973628997803,2.7989063262939453
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,4096,-3.9000000953674316,-0.11534558981657028,2.9251973628997803,2.80985164642334
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,5120,-4.300000190734863,-0.1256057769060135,2.9251973628997803,2.799591541290283
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,6144,-2.9000000953674316,-0.0856865718960762,2.9251973628997803,2.839510679244995
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,7168,-2.799999952316284,-0.08107702434062958,2.9251973628997803,2.8441202640533447
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,8192,-2.5999999046325684,-0.07676121592521667,2.9251973628997803,2.848436117172241
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,9216,-2.5999999046325684,-0.07535390555858612,2.9251973628997803,2.8498435020446777
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,10240,-1.7999999523162842,-0.05383586511015892,2.9251973628997803,2.871361494064331
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,11264,-1.7999999523162842,-0.05137327313423157,2.9251973628997803,2.873824119567871
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,12288,-2.0999999046325684,-0.060714829713106155,2.9251973628997803,2.8644824028015137
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,13312,-0.8999999761581421,-0.02667602151632309,2.9251973628997803,2.8985214233398438
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,14336,-1.7000000476837158,-0.04833497107028961,2.9251973628997803,2.8768622875213623
SwingOption_20_RegimeSwitching_wRegLab_32_14_r2,15360,-1.399999976158142,-0.040042418986558914,2.9251973628997803,2.885154962539673
