arm,sampler,replay,step_density,regime,c,gamma,N,seed,price,ci95,std,bangbang,cpu_train,t_total,wall_s
A4,mc,coverage,1.0,g2,0.04,2.0,1024,15,1.961054,0.018614,2.431205,0.153672,12.6326,15.2031,15.228209257125854
A4,mc,coverage,1.0,g2,0.04,2.0,1024,16,1.961026,0.018764,2.450787,0.178522,12.6247,14.9814,15.003275871276855
A4,mc,coverage,1.0,g2,0.04,2.0,1024,17,1.967674,0.018734,2.446876,0.183364,12.6496,14.9829,15.001797914505005
A4,mc,coverage,1.0,g2,0.04,2.0,1024,18,1.968346,0.01887,2.464698,0.143178,12.5116,14.6548,14.674928903579712
A4,mc,coverage,1.0,g2,0.04,2.0,1024,19,1.984847,0.018909,2.46971,0.162061,12.5842,14.9086,14.931737661361694
A4,mc,coverage,1.0,g2,0.04,2.0,1024,20,1.956425,0.018915,2.470548,0.183098,12.4671,14.7648,14.784670114517212
A4,mc,coverage,1.0,g2,0.04,2.0,1024,21,1.966686,0.018658,2.436957,0.145584,12.5172,14.8688,14.889364242553711
A4,mc,coverage,1.0,g2,0.04,2.0,1024,22,1.959284,0.018899,2.468464,0.175756,12.4989,14.8466,14.867407083511353
A0,mc,uniform,1.0,g2,0.04,2.0,2048,11,1.976423,0.018834,2.459941,0.157105,22.4498,33.9443,33.967491149902344
A0,mc,uniform,1.0,g2,0.04,2.0,2048,12,1.967299,0.018762,2.450609,0.149079,22.442,33.771,33.791786909103394
A0,mc,uniform,1.0,g2,0.04,2.0,2048,13,1.97955,0.018937,2.473395,0.140714,22.4892,33.4581,33.48247718811035
A0,mc,uniform,1.0,g2,0.04,2.0,2048,14,1.969156,0.018896,2.468109,0.15913,22.3654,34.0761,34.10088109970093
A0,mc,uniform,1.0,g2,0.04,2.0,2048,15,1.975604,0.019023,2.484623,0.16069,23.0698,31.9025,32.023030042648315
A0,mc,uniform,1.0,g2,0.04,2.0,2048,16,1.973863,0.019034,2.486063,0.166213,22.9411,31.9168,31.989797115325928
A0,mc,uniform,1.0,g2,0.04,2.0,2048,17,1.979469,0.018962,2.476606,0.146664,22.9838,32.5634,32.58032512664795
A0,mc,uniform,1.0,g2,0.04,2.0,2048,18,1.975479,0.019003,2.481986,0.152101,22.8904,31.6719,31.7331120967865
A0,mc,uniform,1.0,g2,0.04,2.0,2048,19,1.990385,0.01906,2.489508,0.158882,23.7256,33.8681,33.900871992111206
A0,mc,uniform,1.0,g2,0.04,2.0,2048,20,1.974658,0.019112,2.496266,0.155088,23.903,33.9136,33.930442094802856
A0,mc,uniform,1.0,g2,0.04,2.0,2048,21,1.978974,0.018902,2.468883,0.141351,23.5966,34.0681,34.087682008743286
A0,mc,uniform,1.0,g2,0.04,2.0,2048,22,1.976893,0.019185,2.505845,0.147619,23.6449,33.5965,33.61405801773071
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,11,1.939575,0.018984,2.479593,0.144302,22.8209,27.097,27.121958017349243
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,12,1.93517,0.018766,2.45109,0.179874,22.3407,26.3972,26.415894031524658
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,13,1.953544,0.019078,2.491765,0.198238,22.7129,26.9962,27.01655101776123
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,14,1.941765,0.019251,2.514416,0.169999,22.6987,26.8142,26.835179805755615
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,15,1.953907,0.018805,2.45612,0.170233,22.9389,27.7484,27.76894187927246
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,16,1.943601,0.018962,2.47671,0.237227,22.7882,27.5405,27.56272006034851
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,17,1.952278,0.018816,2.457646,0.199182,22.7124,27.6064,27.62748384475708
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,18,1.933126,0.019486,2.545061,0.26625,22.9268,27.689,27.710691213607788
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,19,1.94382,0.01927,2.516848,0.191133,23.0896,28.0439,28.08021903038025
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,20,1.940337,0.019359,2.528546,0.250648,23.0362,28.1303,28.152737140655518
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,21,1.947273,0.019248,2.514037,0.205018,23.1223,28.0351,28.0587420463562
A1,arqmc,uniform,1.0,g2,0.04,2.0,2048,22,1.932786,0.019081,2.492197,0.219658,22.83,27.5184,27.539830923080444
A2,mc,time,2.0,g2,0.04,2.0,2048,11,1.978648,0.018926,2.472031,0.148932,26.7227,31.4396,31.466641902923584
A2,mc,time,2.0,g2,0.04,2.0,2048,12,1.966516,0.01864,2.434664,0.147396,26.7544,31.0911,31.11089515686035
A2,mc,time,2.0,g2,0.04,2.0,2048,13,1.975508,0.018912,2.470079,0.162996,26.8892,31.5834,31.603957891464233
A2,mc,time,2.0,g2,0.04,2.0,2048,14,1.969879,0.018855,2.462646,0.14248,27.0422,32.011,32.02697014808655
A2,mc,time,2.0,g2,0.04,2.0,2048,15,1.968162,0.018875,2.465272,0.168571,26.7864,31.3745,31.395308017730713
A2,mc,time,2.0,g2,0.04,2.0,2048,16,1.97851,0.019069,2.490686,0.153271,27.1904,32.1784,32.19830679893494
A2,mc,time,2.0,g2,0.04,2.0,2048,17,1.979659,0.018977,2.478615,0.140326,26.9798,31.742,31.76242709159851
A2,mc,time,2.0,g2,0.04,2.0,2048,18,1.981811,0.019114,2.496495,0.141799,26.8972,31.3977,31.41558313369751
A2,mc,time,2.0,g2,0.04,2.0,2048,19,1.991492,0.018967,2.477281,0.157652,26.8629,32.0563,32.103256940841675
A2,mc,time,2.0,g2,0.04,2.0,2048,20,1.970068,0.019028,2.485253,0.151194,26.9726,32.0391,32.06116580963135
A2,mc,time,2.0,g2,0.04,2.0,2048,21,1.975521,0.018822,2.45844,0.149208,26.8895,32.0488,32.07731604576111
A2,mc,time,2.0,g2,0.04,2.0,2048,22,1.972806,0.018974,2.478244,0.153507,27.1044,32.2854,32.30727815628052
A4,mc,coverage,1.0,g2,0.04,2.0,2048,11,1.975004,0.018849,2.461861,0.156469,27.8222,32.7993,32.82300901412964
A4,mc,coverage,1.0,g2,0.04,2.0,2048,12,1.967335,0.01871,2.443732,0.166335,27.6905,32.7189,32.73980379104614
A4,mc,coverage,1.0,g2,0.04,2.0,2048,13,1.980827,0.019106,2.495526,0.146527,27.7053,32.4733,32.49350595474243
A4,mc,coverage,1.0,g2,0.04,2.0,2048,14,1.969326,0.01886,2.463286,0.156699,27.7293,32.8008,32.82160711288452
A4,mc,coverage,1.0,g2,0.04,2.0,2048,15,1.967216,0.018751,2.449075,0.168188,27.9463,32.8608,32.883135080337524
A4,mc,coverage,1.0,g2,0.04,2.0,2048,16,1.974899,0.018997,2.481276,0.164046,27.6823,32.7763,32.797013998031616
A4,mc,coverage,1.0,g2,0.04,2.0,2048,17,1.97446,0.01889,2.467223,0.158552,27.6817,32.4307,32.4550199508667
A4,mc,coverage,1.0,g2,0.04,2.0,2048,18,1.973476,0.018914,2.470423,0.145894,27.8017,32.7399,32.76054406166077
A4,mc,coverage,1.0,g2,0.04,2.0,2048,19,1.988484,0.018976,2.478541,0.154849,27.6764,32.2445,32.266672134399414
A4,mc,coverage,1.0,g2,0.04,2.0,2048,20,1.966673,0.018938,2.473578,0.179832,27.5227,31.7838,31.80337691307068
A4,mc,coverage,1.0,g2,0.04,2.0,2048,21,1.974872,0.01879,2.45417,0.151833,27.8419,32.6553,32.675877809524536
A4,mc,coverage,1.0,g2,0.04,2.0,2048,22,1.969214,0.018855,2.46273,0.163169,27.7481,32.496,32.519384145736694
A0,mc,uniform,1.0,g2,0.04,2.0,4096,11,1.983094,0.019106,2.49552,0.157401,51.6787,69.4794,69.49602580070496
A0,mc,uniform,1.0,g2,0.04,2.0,4096,12,1.971142,0.01889,2.467239,0.168963,52.0898,70.4476,70.4633400440216
A0,mc,uniform,1.0,g2,0.04,2.0,4096,13,1.981117,0.019037,2.486454,0.15642,51.3427,68.9153,68.94017910957336
A0,mc,uniform,1.0,g2,0.04,2.0,4096,14,1.974036,0.018919,2.471001,0.148327,51.7674,69.8553,69.87002301216125
A0,mc,uniform,1.0,g2,0.04,2.0,4096,15,1.975287,0.01913,2.498658,0.147515,52.2913,65.7821,65.80842280387878
A0,mc,uniform,1.0,g2,0.04,2.0,4096,16,1.982772,0.019138,2.499688,0.143766,52.1223,65.5289,65.54538893699646
A0,mc,uniform,1.0,g2,0.04,2.0,4096,17,1.984668,0.019109,2.495809,0.141205,52.3433,65.6968,65.71690201759338
A0,mc,uniform,1.0,g2,0.04,2.0,4096,18,1.980172,0.019162,2.502807,0.157561,52.3954,65.581,65.59937715530396
A0,mc,uniform,1.0,g2,0.04,2.0,4096,19,1.994653,0.019176,2.504618,0.161516,52.4333,62.2183,62.24265789985657
A0,mc,uniform,1.0,g2,0.04,2.0,4096,20,1.975336,0.018975,2.478373,0.159754,52.6295,62.268,62.286317110061646
A0,mc,uniform,1.0,g2,0.04,2.0,4096,21,1.982691,0.019023,2.484619,0.147853,52.5487,62.2104,62.22980809211731
A0,mc,uniform,1.0,g2,0.04,2.0,4096,22,1.979965,0.019157,2.502118,0.139894,53.2166,63.1568,63.17672896385193
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,11,1.970881,0.019018,2.483999,0.145484,48.2755,58.7398,58.77139592170715
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,12,1.951402,0.019014,2.483461,0.171133,48.9217,60.7308,60.748522996902466
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,13,1.949904,0.019059,2.489323,0.15986,48.1033,59.3599,59.40053081512451
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,14,1.959783,0.018884,2.466491,0.180262,48.46,60.6227,60.64355111122131
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,15,1.938691,0.019338,2.525831,0.158818,48.7601,60.471,60.49443006515503
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,16,1.960703,0.019203,2.508085,0.190114,48.7047,60.312,60.32910704612732
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,17,1.966732,0.018948,2.474801,0.201311,48.694,60.3033,60.32466387748718
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,18,1.961275,0.019451,2.540592,0.145042,49.1071,60.9603,60.97820711135864
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,19,1.975336,0.019508,2.547993,0.153354,48.3591,60.5598,60.60076284408569
