=== Top 40 cumulative ===
Sat Dec  6 14:18:38 2025    runv26_v2.prof

         1073054172 function calls (977977190 primitive calls) in 981.694 seconds

   Ordered by: cumulative time
   List reduced from 20974 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   6089/1    0.125    0.000  981.706  981.706 {built-in method builtins.exec}
        1    0.001    0.001  981.706  981.706 run.py:1(<module>)
        1    0.002    0.002  977.423  977.423 run.py:1136(main)
        1    5.433    5.433  966.061  966.061 run.py:951(run_training)
   314631    3.691    0.000  529.160    0.002 agent.py:291(step)
   148316    9.918    0.000  456.075    0.003 agent.py:314(learn_)
       17    0.000    0.000  367.225   21.601 agent_evaluation.py:299(evaluate_agent)
       17    0.177    0.010  367.225   21.601 agent_evaluation.py:319(_run)
       17    0.482    0.028  367.049   21.591 agent_evaluation.py:350(_evaluate_swing_agent)
   139264   68.091    0.000  361.714    0.003 agent_evaluation.py:158(_evaluate_swing_batch)
35696810/3569681   16.783    0.000  271.031    0.000 module.py:1747(_wrapped_call_impl)
35696810/3569681   29.438    0.000  268.937    0.000 module.py:1755(_call_impl)
  2825133   12.051    0.000  202.289    0.000 agent.py:274(act)
  7139362   11.215    0.000  201.747    0.000 container.py:238(forward)
  3123249   10.557    0.000  201.733    0.000 networks.py:210(forward)
   296632    0.399    0.000   93.567    0.000 lr_scheduler.py:120(wrapper)
   296632    1.759    0.000   93.167    0.000 optimizer.py:465(wrapper)
   296632    0.446    0.000   89.084    0.000 _tensor.py:592(backward)
   296632    1.342    0.000   88.611    0.000 __init__.py:243(backward)
   296632    0.551    0.000   83.762    0.000 graph.py:815(_engine_run_backward)
 10709043   12.253    0.000   83.458    0.000 linear.py:124(forward)
   296632    1.083    0.000   83.387    0.000 optimizer.py:60(_use_grad)
   296632   83.029    0.000   83.029    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   296632    2.041    0.000   81.745    0.000 adam.py:212(step)
   593264    0.692    0.000   71.090    0.000 optimizer.py:130(maybe_fallback)
   593264    1.680    0.000   70.170    0.000 adam.py:865(adam)
  7139362    9.710    0.000   67.104    0.000 normalization.py:216(forward)
 10709043   66.193    0.000   66.193    0.000 {built-in method torch._C._nn.linear}
   593264   26.130    0.000   64.486    0.000 adam.py:344(_single_tensor_adam)
   446432    4.608    0.000   61.757    0.000 networks.py:341(forward)
  7139362    7.982    0.000   53.948    0.000 functional.py:2889(layer_norm)
  2510502   28.643    0.000   50.097    0.000 agent_evaluation.py:93(_build_state_batch)
  2510502   24.750    0.000   45.401    0.000 agent_evaluation.py:126(_feasible_actions)
   296632    0.386    0.000   45.272    0.000 agent.py:237(_clip_gradients)
889896/296632    2.509    0.000   44.886    0.000 clip_grad.py:36(_no_grad_wrapper)
   296632    0.878    0.000   42.838    0.000 clip_grad.py:179(clip_grad_norm_)
  7139362   42.832    0.000   42.832    0.000 {built-in method torch.layer_norm}
   296632    5.600    0.000   38.450    0.000 agent.py:452(soft_update)
  9788878    2.395    0.000   35.608    0.000 module.py:2620(parameters)
  9788900    1.797    0.000   33.134    0.000 module.py:2645(named_parameters)



=== Top 40 self-time ===
Sat Dec  6 14:18:38 2025    runv26_v2.prof

         1073054172 function calls (977977190 primitive calls) in 981.694 seconds

   Ordered by: internal time
   List reduced from 20974 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   296632   83.029    0.000   83.029    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   139264   68.091    0.000  361.714    0.003 agent_evaluation.py:158(_evaluate_swing_batch)
 10709043   66.193    0.000   66.193    0.000 {built-in method torch._C._nn.linear}
  7139362   42.832    0.000   42.832    0.000 {built-in method torch.layer_norm}
35696810/3569681   29.438    0.000  268.937    0.000 module.py:1755(_call_impl)
  2510502   28.643    0.000   50.097    0.000 agent_evaluation.py:93(_build_state_batch)
   593264   26.130    0.000   64.486    0.000 adam.py:344(_single_tensor_adam)
  2510502   24.750    0.000   45.401    0.000 agent_evaluation.py:126(_feasible_actions)
35696810/3569681   16.783    0.000  271.031    0.000 module.py:1747(_wrapped_call_impl)
