=== Top 40 cumulative ===
Sat Dec  6 15:40:57 2025    runv26_v4.prof

         577744132 function calls (521788083 primitive calls) in 580.263 seconds

   Ordered by: cumulative time
   List reduced from 20976 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   6089/1    0.122    0.000  580.274  580.274 {built-in method builtins.exec}
        1    0.001    0.001  580.274  580.274 run.py:1(<module>)
        1    0.002    0.002  575.722  575.722 run.py:1136(main)
        1    5.312    5.312  564.615  564.615 run.py:951(run_training)
   348918    3.691    0.000  485.287    0.001 agent.py:295(step)
   165460   10.119    0.000  448.040    0.003 agent.py:318(learn_)
11855120/1185512    6.710    0.000  152.001    0.000 module.py:1747(_wrapped_call_impl)
11855120/1185512   11.487    0.000  151.114    0.000 module.py:1755(_call_impl)
  2371024    4.648    0.000  114.583    0.000 container.py:238(forward)
   330920    0.429    0.000  102.547    0.000 lr_scheduler.py:120(wrapper)
   330920    1.920    0.000  102.118    0.000 optimizer.py:465(wrapper)
   330920    0.461    0.000  100.519    0.000 _tensor.py:592(backward)
   330920    1.428    0.000  100.029    0.000 __init__.py:243(backward)
   330920    0.597    0.000   94.840    0.000 graph.py:815(_engine_run_backward)
   330920   93.984    0.000   93.984    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   330920    1.136    0.000   91.176    0.000 optimizer.py:60(_use_grad)
   330920    2.096    0.000   89.403    0.000 adam.py:212(step)
   687477    3.570    0.000   79.748    0.000 networks.py:210(forward)
   661840    0.758    0.000   77.733    0.000 optimizer.py:130(maybe_fallback)
   661840    1.744    0.000   76.730    0.000 adam.py:865(adam)
   661840   28.337    0.000   70.672    0.000 adam.py:344(_single_tensor_adam)
   498035    8.383    0.000   69.009    0.000 networks.py:341(forward)
   330920    0.424    0.000   50.305    0.000 agent.py:241(_clip_gradients)
992760/330920    2.818    0.000   49.881    0.000 clip_grad.py:36(_no_grad_wrapper)
  3556536    4.499    0.000   49.683    0.000 linear.py:124(forward)
   330920    0.969    0.000   47.542    0.000 clip_grad.py:179(clip_grad_norm_)
   354902    4.619    0.000   46.923    0.000 agent.py:278(act)
  3556536   43.415    0.000   43.415    0.000 {built-in method torch._C._nn.linear}
  2371024    3.689    0.000   40.236    0.000 normalization.py:216(forward)
 10920382    2.386    0.000   38.913    0.000 module.py:2620(parameters)
   330920    1.177    0.000   37.152    0.000 agent.py:458(soft_update)
 10920404    1.972    0.000   36.527    0.000 module.py:2645(named_parameters)
