Metric,RL_D4PG,Longstaff_Schwartz,Difference
Mean Payoff,583.3758563013091,450.45634523779296,132.9195110635162
Std Payoff,457.028743954063,399.3574700148859,57.67127393917707
Sharpe Ratio,1.2764533172555677,1.127952721708204,0.14850059554736372
Win Rate,0.8427734375,0.1572265625,0.3427734375
Avg Exercise,18.32367857470703,16.20361328125,2.1200652934570314
VaR 95%,17.84307060698925,0.0,17.84307060698925
