name,LSM,Best RL,PctDiff,Best RL Episode
SwingOption_20_11,2.625978617413028,2.5887382856445313,-1.418150609511969,10240
SwingOption_20_12,2.684628712584624,2.538438607666016,-5.4454496531799315,3072
SwingOption_20_13,2.6516774873243696,2.6089198615722657,-1.612474592272068,12288
SwingOption_20_14,2.684179656370927,2.660008790771484,-0.9004935844019534,11264
SwingOption_20_15,2.6823441990649357,2.6117913081054684,-2.6302698581361024,15360
SwingOption_20_16,2.680587200923525,2.643239725830078,-1.3932572341082485,14336
SwingOption_20_17,2.664365985092015,2.164765815673828,-18.751184042042677,1024
SwingOption_20_18,2.6766650172910422,2.6204751955566405,-2.09924743557449,16384

SwingOption_20_v2_c0.05_gamma1.5_11,1.901390932297251,1.9028877275390625,0.07872106763457815,2048
SwingOption_20_v2_c0.05_gamma1.5_12,1.9389268523597978,1.9397965100097654,0.044852524937141106,2048
SwingOption_20_v2_c0.05_gamma1.5_13,1.9351062760702828,1.9425312651367186,0.38369929126135827,2048
SwingOption_20_v2_c0.05_gamma1.5_14,1.9425129102460332,1.95223444921875,0.500462000609585,15360
SwingOption_20_v2_c0.05_gamma1_11,2.1011862896271896,2.0782231313476567,-1.0928663675797732,11264
SwingOption_20_v2_c0.05_gamma1_12,2.1231092622298284,2.114931061767578,-0.385199226801031,16384
SwingOption_20_v2_c0.05_gamma1_13,2.1229973002620626,2.0877098442382813,-1.6621526565024538,10240
SwingOption_20_v2_c0.05_gamma1_14,2.158603041702995,2.125834798095703,-1.518030085857752,10240
SwingOption_20_v2_c0.05_gamma2_11,1.6477811662588986,1.7560821647949219,6.572535282819652,6144
SwingOption_20_v2_c0.05_gamma2_12,1.6843936046428059,1.7799355903320313,5.672188817736943,10240
SwingOption_20_v2_c0.05_gamma2_13,1.6792143370953925,1.7297496665039063,3.009462716708748,6144
SwingOption_20_v2_c0.05_gamma2_14,1.7077805029974003,1.8160673217773438,6.3407925427117,11264
