c,gamma,ID,LSM,Best RL,PctDiff
0,1,14,2.684179656370927,2.660008790771484,-0.9004935844019534
0.01,1.5,13,2.5079312169867776,2.491421474609375,-0.6583012430954487
0.01,1,13,2.5364618587559216,2.5269792226562497,-0.37385289539984795
0.01,2,12,2.4565332870226286,2.451500419189453,-0.20487684249031343
0.01,3,12,2.2189853891724316,2.24909329711914,1.3568321852690208
0.02,1.5,14,2.3675008568597082,2.3528134040527346,-0.6203779299347442
0.02,1,12,2.432813656914616,2.427000653076172,-0.2389415984213251
0.02,2,13,2.2177329419452736,2.21122255859375,-0.2935602943162705
0.02,3,12,1.8564868657667337,2.0266602888183596,9.166422137941915
0.04,1.5,14,2.072976056420738,2.080895274902344,0.38202170531962076
0.04,1,11,2.1947800565018425,2.173682197753906,-0.9612743967413004
0.04,2,13,1.8664038658602282,1.95557858203125,4.77788959839734
0.04,3,12,1.2207320012768057,1.7402797810058592,42.56034733140776
0.05,1.5,11,1.902993191330341,1.9133317014160156,0.5432762519999937
0.05,1,14,2.128639574720604,2.110041763671875,-0.8736946954098761
0.05,2,14,1.7005589768236713,1.8138385798339844,6.661315752888408
0.05,3,14,0.9777248435671362,1.6419946013183593,67.94035787489024
0.08,1.5,14,1.5834078121621027,1.6394826232910156,3.541400433811437
0.08,1,11,1.8367522830805272,1.8223882204589843,-0.782035920350242
0.08,2,11,1.1976537410519028,1.4472930026855468,20.844026372295644
0.10,1.5,14,1.3917140112962414,1.4764322592773438,6.087331685494484
0.10,1,13,1.6933597491230121,1.6773223388671874,-0.9470763825661067
0.10,2,12,0.9716948361606798,1.3186198188476561,35.70307979177207
0.15,1.5,12,0.9167624449165601,1.081771719970703,17.999131178324113
0.15,1,13,1.2962504201302936,1.3199276916503906,1.8265970180142415
0.15,2,11,0.48435276209974243,0.9993280021972657,106.32235023601966

