Configuration,c,gamma,LSM_mean,LSM_CI95,KernelOn_mean,KernelOn_CI95,KernelOn_Delta_pct,KernelOn_Delta_CI95,KernelOff_mean,KernelOff_CI95,KernelOff_Delta_pct,KernelOff_Delta_CI95
SwingOption_20_c0.00_gamma1,0.0,1.0,2.6682358608310617,0.005754874547974915,2.6632035,0.005897780619507057,-0.1886119889642518,0.03229213674330914,2.50710925,0.030444565529125667,-6.040132526084577,0.996267031392269
SwingOption_20_c0.01_gamma1,0.01,1.0,2.5557921669116515,0.005845094042047682,2.551609,0.005326517319374028,-0.16362556964169273,0.029811626262815766,2.4643722500000003,0.02536633248623559,-3.577816210506396,0.8929649196473213
SwingOption_20_c0.01_gamma1.5,0.01,1.5,2.5143509961483432,0.005700431156636827,2.51089175,0.005215719329039693,-0.13753518284944644,0.021710968596005208,2.433452,0.010142928722216837,-3.2178232082572618,0.22384208616717133
SwingOption_20_c0.01_gamma2,0.01,2.0,2.4626618965436213,0.005485518853963995,2.458652,0.004787070138872449,-0.16275671945001902,0.045643358137515376,2.3857065,0.020562291392716144,-3.125318154526127,0.7602407429031621
SwingOption_20_c0.01_gamma3,0.01,3.0,2.331785229745001,0.0052943850835944556,2.33189625,0.005042109173771457,0.004801754038868955,0.04761701390603497,2.2798485,0.003361572279767944,-2.226923216450019,0.22315286583055347
SwingOption_20_c0.02_gamma1,0.02,1.0,2.4473795338469824,0.006074509810053917,2.4434604999999996,0.0060291106355022895,-0.16011922522506106,0.03975849225001015,2.346768,0.009860962121515606,-4.111263748278137,0.24712476585324908
SwingOption_20_c0.02_gamma1.5,0.02,1.5,2.370944878982873,0.0055253726173112,2.367031,0.005858275654845923,-0.16511209580341024,0.02194104886640132,2.2866969999999998,0.020502523587520558,-3.552797826664839,0.8986394413767191
SwingOption_20_c0.02_gamma2,0.02,2.0,2.2853536002231314,0.005424248099099216,2.2828134999999996,0.004446246052954964,-0.11103238201646548,0.05667299290922978,2.2119832500000003,0.026815251372525738,-3.211052498583947,1.1042244901048874
SwingOption_20_c0.02_gamma3,0.02,3.0,2.107325455344202,0.005414768654884007,2.1158145,0.004967890210964514,0.4028941027225619,0.02221480503052383,2.0573182500000002,0.0078125037102009,-2.3729045769677355,0.3163671787220665
SwingOption_20_c0.04_gamma1,0.04,1.0,2.240246970873242,0.005816370738613047,2.23545125,0.0059645546842645595,-0.2140703413256534,0.055835989353751336,2.14730525,0.0289366734483444,-4.149817835263933,1.1875246474154968
SwingOption_20_c0.04_gamma1.5,0.04,1.5,2.109920626872256,0.005774870879732127,2.107592,0.004841252848502046,-0.11022769786644404,0.06491581447815464,2.0527260000000003,0.020831485041552963,-2.7089257618269884,1.121091236284493
SwingOption_20_c0.04_gamma2,0.04,2.0,1.9864700523385406,0.005320108766123309,1.990243,0.005040039750863173,0.189975123082875,0.023192765129046337,1.94873725,0.013825407513076843,-1.8995755703011818,0.6371103842974621
SwingOption_20_c0.04_gamma3,0.04,3.0,1.796878539039464,0.00508967918733643,1.8176552500000003,0.004805643787469664,1.1563239968015782,0.02830980765855092,1.7571535,0.011799397513154104,-2.2118201130707114,0.39534778853272873
SwingOption_20_c0.05_gamma1,0.05,1.0,2.141707481779987,0.005972385226552957,2.13751275,0.005392823986407166,-0.1957763908325777,0.03859001011566851,2.06353575,0.032230764190629944,-3.6507903124765786,1.4312190044693185
SwingOption_20_c0.05_gamma1.5,0.05,1.5,1.9904634888144246,0.005750563360793937,1.989525,0.004973956676961158,-0.04702805365655316,0.04836102411610236,1.9518924999999998,0.008155459237715146,-1.9381241832747587,0.15437722321509006
SwingOption_20_c0.05_gamma2,0.05,2.0,1.8587802716670225,0.005424033955891594,1.8636032500000002,0.004774582612862695,0.25958294112879976,0.044005092962038105,1.82296575,0.0053186097979366275,-1.92669607366657,0.11558621612525859
SwingOption_20_c0.05_gamma3,0.05,3.0,1.6799751190434213,0.004997163635397079,1.70558825,0.004861188965826828,1.5246547646072306,0.022211951330254123,1.6425177499999999,0.01996552318967551,-2.230136233123287,1.1168887713896383
SwingOption_20_c0.08_gamma1,0.08,1.0,1.8660163103429812,0.006057454878055741,1.86241825,0.006087902510522764,-0.19282401849495256,0.02774973561316736,1.8144615,0.011364076245023535,-2.763354192440629,0.4157547136107903
SwingOption_20_c0.08_gamma1.5,0.08,1.5,1.6713545341693181,0.005609626720775018,1.6748055,0.005335527776975543,0.2065429414791098,0.04035019185680899,1.636982,0.010256273269600796,-2.0571423978564845,0.4087083065751666
SwingOption_20_c0.08_gamma2,0.08,2.0,1.5384438088912422,0.005255956643059161,1.5507115,0.004182785991573251,0.7976667160716155,0.07508334560512141,1.5032025,0.006671749703233368,-2.2898307793059707,0.5016141019768935
SwingOption_20_c0.08_gamma3,0.08,3.0,1.4131322903587646,0.004671257664941942,1.44993725,0.004192630247844423,2.604646267626359,0.05936581287413117,1.39594575,0.006834384429735364,-1.215077901898523,0.5903248259620472
SwingOption_20_c0.10_gamma1,0.1,1.0,1.698680816956752,0.005994826618858222,1.6954597500000002,0.0064902636744610335,-0.18973171829090862,0.03981090937647468,1.64101175,0.022882548281367914,-3.395297438262579,1.284686074561318
SwingOption_20_c0.10_gamma1.5,0.1,1.5,1.487677456794628,0.005642282227842998,1.4951435,0.005307481545615323,0.5019566050316726,0.027386745920291306,1.4579879999999998,0.012881723495283465,-1.9974420417792986,0.524118364087381
SwingOption_20_c0.10_gamma2,0.1,2.0,1.3657940255354828,0.005342886224082964,1.383958,0.00454213626982968,1.330179063862591,0.06698187050839842,1.33057925,0.01677775936332545,-2.5803416518304036,0.9990092664169189
