name,LSM,Best RL,PctDiff
SwingOption_20_14,2.684179656370927,2.660008790771484,-0.9004935844019534
SwingOption_20_c0.01_gamma1_13,2.536461858755922,2.5269792226562497,-0.3738528953998654
SwingOption_20_c0.02_gamma1.5_14,2.3675008568597087,2.3528134040527346,-0.6203779299347628
SwingOption_20_c0.02_gamma1_12,2.432813656914616,2.4270006530761714,-0.23894159842134335
SwingOption_20_c0.04_gamma1.5_14,2.0729760564207376,2.0808952749023435,0.3820217053196209
SwingOption_20_c0.05_gamma1_14,2.128639574720604,2.110041763671875,-0.8736946954098761
SwingOption_20_c0.05_gamma2_14,1.7005589768236713,1.8138385798339844,6.661315752888408
SwingOption_20_c0.08_gamma1.5_14,1.5834078121621027,1.6394826232910156,3.541400433811437
SwingOption_20_c0.10_gamma2_12,0.9716948361606799,1.3186198188476561,35.703079791772055
SwingOption_20_c0.15_gamma2_11,0.48435276209974243,0.9993280021972656,106.32235023601963
SwingOption_20_gamma1.5_c0.3_11,0.09925343649705881,0.46132950219726565,364.79952581887306
SwingOption_20_gamma1_c0_14,2.6726823974709237,2.6550804875488283,-0.6585859187291228
SwingOption_20_gamma2_c0.1_14,1.0145340884554201,1.368483587890625,34.88788631775558
SwingOption_20_gamma3_c0.8_12,-3.0264493141835045,0.4620875476074219,115.26830617786463
