c,gamma,ID,LSM,Best RL,PctDiff
0.01,1.5,15,2.5067323509858284,2.5056903726501467,-0.0415671954475661
0.01,1.0,11,2.546883832659633,2.5426814888229368,-0.16499943117970503
0.01,2.0,14,2.439687126421304,2.452126696773098,0.5098838378526643
0.01,3.0,13,2.2317468997555863,2.309108356747573,3.4664081756071483
0.02,1.5,11,2.3488993531702826,2.356275186179497,0.314012305348848
0.02,1.0,15,2.4372829096268793,2.437301303428684,0.0007546847242124447
0.02,2.0,13,2.2317468997555863,2.2629967622789193,1.4002422284872647
0.02,3.0,14,1.848643521879746,1.8595162829110603,0.5881480611393761
0.04,1.5,14,2.0662368419312784,2.068527139136827,0.11084388580584088
0.04,1.0,11,2.2282881449082783,2.2290485238711173,0.03412390648742962
0.04,2.0,14,1.848643521879746,1.858209157829417,0.517440806540388
0.04,3.0,14,1.2240349721363044,1.2652588273214393,3.367865798244888
0.05,1.5,14,1.9332846768379288,1.9410817015010198,0.4033045291521026
0.05,1.0,15,2.1285777166850375,2.1340511232188293,0.25713914464517973
0.05,2.0,14,1.6758433240357729,1.6930986512195156,1.0296503817665028
0.05,3.0,15,0.972802538896112,0.9780037393427996,0.5346614794601232
0.08,1.5,14,1.5685806846378543,1.5900945702405564,1.3715510979704044
0.08,1.0,14,1.848643521879746,1.856290273332857,0.41364121111547275
0.08,2.0,14,1.2240349721363044,1.2623218542343366,3.127923872241186
0.1,1.5,14,1.3536584156792708,1.385748783366162,2.370639986808492
0.1,1.0,14,1.6758433240357729,1.6915505015332288,0.9372700462015681
0.1,2.0,15,0.972802538896112,0.9780037393427996,0.5346614794601232
0.15,1.5,15,0.9044027615800678,0.9242193479182583,2.1911240411925825
0.15,1.0,15,1.2920325425710246,1.2257219239437322,-5.132271552180908
0.15,2.0,14,0.49300926402137424,0.6221175542572869,26.187802067410075
