Configuration,c,gamma,LSM_full,Delta_pct_v61_old,Delta_pct_v64_4k,Delta_pct_v64_32k,RL_mean_v61,RL_mean_v64_4k,RL_mean_v64_32k,RL_std_v61,RL_std_v64_4k,RL_std_v64_32k
SwingOption_20_c0.01_gamma1,0.01,1.0,2.554873220290165,-0.8202417157292817,-0.1772767472660494,,2.533917084353349,2.550344024148463,,0.002862600892966,0.0008597343647474,
SwingOption_20_c0.01_gamma1.5,0.01,1.5,2.513135013168324,-0.90140091501582,-0.1715851030278859,,2.4904815911640417,2.508822847866749,,0.0051567696597826,0.0002739015276036,
SwingOption_20_c0.01_gamma2,0.01,2.0,2.4609071077534552,-1.1595492950346509,-0.1384149052237513,,2.4323716767340424,2.4575008455126137,,0.0063182144301056,0.000726771084606,
SwingOption_20_c0.01_gamma3,0.01,3.0,2.328915530484535,-1.2893074496576813,0.0136012613622569,,2.298888649053763,2.329232292372742,,0.0122532562473576,0.0012286507138269,
SwingOption_20_c0.02_gamma1,0.02,1.0,2.445239051690584,-1.188700635305789,-0.1341403223497597,,2.4161724795483925,2.441959000144424,,0.0061828520616842,0.0009588426706982,
SwingOption_20_c0.02_gamma1.5,0.02,1.5,2.368995078224865,-1.1707136293290297,-0.1061477698317727,,2.341260929965953,2.366480442781905,,0.0121811462501491,0.0003868839566125,
SwingOption_20_c0.02_gamma2,0.02,2.0,2.2821689872462416,-1.252020814193049,-0.0690704360141796,,2.25359575651086,2.2805926831761703,,0.0042490522294935,0.0006211546879904,
SwingOption_20_c0.02_gamma3,0.02,3.0,2.1030311293898976,-1.0971055618259318,0.4222334923335388,,2.0799586579024303,2.111910831172382,,0.0023422212116314,0.0006496681239938,
SwingOption_20_c0.04_gamma1,0.04,1.0,2.237811826919207,-0.7783087277517734,-0.1814905985150814,,2.2203947421596335,2.23375040884089,,0.0033298562791931,0.0006957706665078,
SwingOption_20_c0.04_gamma1.5,0.04,1.5,2.106734893134199,-1.614207301133674,-0.050821546454368,,2.072727824673696,2.1056642178818143,,0.0176919153912409,0.0003424081012863,
SwingOption_20_c0.04_gamma2,0.04,2.0,1.9821827523762008,-1.0560134730698758,0.1062278089398439,,1.9612506354502408,1.9842883816832335,,0.0087525063765806,0.002067905694141,
SwingOption_20_c0.04_gamma3,0.04,3.0,1.791712076562641,-0.0794255190537165,1.1434445732271652,,1.790288999945883,1.8121993110699524,,0.0041331393496764,0.0004673409217435,
SwingOption_20_c0.05_gamma1,0.05,1.0,2.1391889196319616,-0.973083459625198,-0.1749849130482691,,2.118372826084888,2.135445661761006,,0.0066311396136879,1.836513817831182e-05,
SwingOption_20_c0.05_gamma1.5,0.05,1.5,1.9868887732159424,-1.2955510785943969,-0.0081428296406715,,1.961147614284072,1.9867269842479895,,0.0149286996378956,0.0007408303688026,
SwingOption_20_c0.05_gamma2,0.05,2.0,1.8540567457084656,-1.3274204092069342,0.1469560738332445,,1.8294456180676535,1.8567813947085992,,0.00579146014291,0.0009258562468395,
SwingOption_20_c0.05_gamma3,0.05,3.0,1.6748848388857966,0.5575813175654951,1.5388665102273162,,1.6842236838381608,1.700659080756285,,0.0044595212261651,0.0003539881110188,
SwingOption_20_c0.08_gamma1,0.08,1.0,1.8631736681043616,-1.0007243929516767,-0.2395002398676682,,1.844528434724589,1.8587113627001008,,0.0004567202776238,0.0013660734967008,
SwingOption_20_c0.08_gamma1.5,0.08,1.5,1.6665771055158487,-1.7660579674268249,0.2471407775271535,,1.6371443877605747,1.67069589713251,,0.0106937683680622,0.0001578559990099,
SwingOption_20_c0.08_gamma2,0.08,2.0,1.5332280821853557,-0.1278388081962726,0.8049344793323019,,1.5312680216781591,1.545569563665671,,0.0046799208120658,0.0004347183078898,
SwingOption_20_c0.1_gamma1,0.1,1.0,1.694936805192018,-0.4940535459650034,-0.2096934534468024,,1.6865629098041008,1.69138263367147,,0.0018583475495852,0.0003178164523331,
SwingOption_20_c0.1_gamma1.5,0.1,1.5,1.482499354082136,-0.9954312237722696,0.4882601138004572,,1.4677420926193805,1.4897378071154683,,0.0090276159645266,0.0002525626548168,
SwingOption_20_c0.1_gamma2,0.1,2.0,1.3606302581762686,0.1306362899603385,1.296737179431519,,1.3624077350656278,1.3782740566086351,,0.0075783297936672,0.000415891164408,
SwingOption_20_c0.15_gamma1,0.15,1.0,1.3294860323283937,-1.1246480337806692,-0.1791491006092757,,1.3145339938064238,1.3271042700587514,,0.0021762222563338,0.0002430670574318,
SwingOption_20_c0.15_gamma1.5,0.15,1.5,1.108229810995475,-2.008960237336457,1.2402611238113856,,1.0859659147542668,1.1219747545037402,,0.0037381655987574,0.0002595771243493,
SwingOption_20_c0.15_gamma2,0.15,2.0,1.032111712919547,1.4933094965379126,3.108521600734318,,1.0475243351434549,1.06419512845936,,0.0044301618389572,0.0002354555523912,
