id,c,gamma,LSM,Best RL,PctDiff,Best RL Episode
14,0.05,0,2.684179656370927,2.6600087907714847,-0.9004935844019367,11264
12,0.05,1.5,1.9445351073584938,1.9622618413085937,0.9116180974577717,12288
14,0.05,1,2.1375609971699294,2.124156837402344,-0.6270772990961233,15360
16,0.05,2,1.6719264249643773,1.8083018537597657,8.156784100011706,16384
